Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,Size
26-03-2020,Andaman and Nicobar Islands,11.7401,92.6586,1,0,0,0,0,0,8249
27-03-2020,Andaman and Nicobar Islands,11.7401,92.6586,1,0,0,0,0,0,8249
28-03-2020,Andaman and Nicobar Islands,11.7401,92.6586,6,0,0,5,0,0,8249
29-03-2020,Andaman and Nicobar Islands,11.7401,92.6586,9,0,0,3,0,0,8249
30-03-2020,Andaman and Nicobar Islands,11.7401,92.6586,9,0,0,0,0,0,8249
31-03-2020,Andaman and Nicobar Islands,11.7401,92.6586,10,0,0,1,0,0,8249
01-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,10,0,1,0,0,1,8249
02-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,10,0,0,0,0,-1,8249
03-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,10,0,0,0,0,0,8249
04-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,10,0,0,0,0,0,8249
05-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,10,0,0,0,0,0,8249
06-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,10,0,0,0,0,0,8249
07-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,10,0,0,0,0,0,8249
08-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,10,0,0,0,0,0,8249
09-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,11,0,0,1,0,0,8249
10-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,11,0,0,0,0,0,8249
11-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,11,0,0,0,0,0,8249
12-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,11,0,10,0,0,10,8249
13-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,11,0,10,0,0,0,8249
14-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,11,0,10,0,0,0,8249
15-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,11,0,10,0,0,0,8249
16-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,11,0,10,0,0,0,8249
17-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,11,0,10,0,0,0,8249
18-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,12,0,11,1,0,1,8249
19-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,14,0,11,2,0,0,8249
20-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,15,0,11,1,0,0,8249
21-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,16,0,11,1,0,0,8249
22-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,16,0,11,0,0,0,8249
23-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,18,0,11,2,0,0,8249
24-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,22,0,11,4,0,0,8249
25-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,27,0,11,5,0,0,8249
26-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,11,6,0,0,8249
27-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,11,0,0,0,8249
28-04-2020,Andaman and Nicobar Islands,11.7401,92.6586,33,0,11,0,0,0,8249
